Time Sent,Campaign Name,Total Sent,Open Rate,Industry Standard Open Rate,Total Unique Opens,Mobile Open Rate,Desktop Open Rate,Click Through Rate,Industry Standard Click Through Rate,Total Unique Clicks,Bounce Rate,Total Bounces,Unsubscribe Rate,Total Unsubscribes,Customer List,Discount
"Sun, Aug 27, 2017 7:46 AM",Discount4August2017,243,64.10%,39.41%,148,59.90%,40.10%,10.10%,9.78%,15,4.90%,12,0.00%,0,Customer Rewards Program Member,0.2
"Tue, Apr 22, 2014 4:20 PM",Discount5April2014,3637,24.60%,39.41%,731,22.20%,77.80%,10.10%,9.78%,74,18.40%,670,0.10%,3,Master,0.2
"Fri, Jun 19, 2015 5:17 PM",Discount2June2015,84,84.30%,39.41%,70,62.10%,37.90%,10.00%,9.78%,7,1.20%,1,0.00%,0,Customer Rewards Program Member,0.2
"Mon, May 30, 2016 6:06 PM",Promotion3May2016,101,80.80%,39.41%,80,49.70%,50.30%,30.00%,9.78%,24,2.00%,2,0.00%,0,Target Demographic,
"Tue, Jan 19, 2016 10:16 AM",Discount1January2016,253,60.80%,39.41%,152,67.50%,32.50%,9.90%,9.78%,15,1.20%,3,0.00%,0,Customer Rewards Program Member,0.2
"Mon, May 5, 2014 5:49 PM",Promotion1May2014,110,41.70%,39.41%,45,0.00%,0.00%,0.00%,9.78%,0,1.80%,2,0.00%,0,Target Demographic,
"Wed, Jan 10, 2018 6:57 PM",Discount3January2018,177,34.70%,39.41%,61,37.50%,62.50%,9.80%,9.78%,6,0.60%,1,0.00%,0,Target Demographic,0.2
"Mon, Nov 6, 2017 11:01 PM",AwarenessNovember2017,29,93.10%,39.41%,27,65.00%,35.00%,29.60%,9.78%,8,0.00%,0,0.00%,0,Customer Rewards Program Member,
"Fri, Dec 1, 2017 4:09 PM",DiscountDecember2017,173,36.60%,39.41%,63,63.20%,36.80%,9.50%,9.78%,6,0.60%,1,0.00%,0,Target Demographic,0.2
"Mon, Oct 13, 2014 3:03 PM",PromotionOctober2014,202,70.80%,39.41%,138,0.00%,0.00%,0.00%,9.78%,0,3.50%,7,0.00%,0,Customer Rewards Program Member,
"Tue, Sep 5, 2017 3:36 PM",DiscountSeptember2017,168,51.50%,39.41%,84,58.50%,41.50%,9.50%,9.78%,8,3.00%,5,0.00%,0,Target Demographic,0.75
"Mon, May 19, 2014 1:30 PM",Discount5May2014,3641,28.10%,39.41%,825,50.00%,50.00%,9.10%,9.78%,75,19.30%,703,0.20%,9,Master,0.2
"Thu, Jun 19, 2014 9:00 AM",Discount5June2014,4024,26.60%,39.41%,874,33.30%,66.70%,8.40%,9.78%,73,18.30%,736,0.10%,6,Master,0.2
"Mon, Sep 11, 2017 3:11 PM",Promotion1September2017,168,51.90%,39.41%,84,52.00%,48.00%,2.40%,9.78%,2,3.60%,6,0.00%,0,Target Demographic,
"Tue, Jul 11, 2017 6:02 AM",Discount1July2017,3845,22.90%,39.41%,774,56.20%,43.80%,8.30%,9.78%,64,12.10%,466,0.10%,2,Master,0.2
"Wed, Aug 16, 2017 8:54 PM",Discount4August2017,196,70.00%,39.41%,133,63.90%,36.10%,8.30%,9.78%,11,3.10%,6,0.00%,0,Customer Rewards Program Member,0.4
"Sat, Apr 19, 2014 10:00 AM",Promotion1April2014,3653,30.90%,39.41%,921,0.00%,100.00%,0.90%,9.78%,8,18.50%,675,0.10%,5,Master,
"Sat, Apr 21, 2018 4:38 PM",Promotion3March2018,118,78.80%,39.41%,89,66.80%,33.20%,23.60%,9.78%,21,4.20%,5,0.00%,0,Target Demographic,
"Sat, Feb 10, 2018 4:08 PM",AwarenessFebruary2018,3506,23.50%,39.41%,790,60.60%,39.40%,5.80%,9.78%,46,4.10%,143,0.10%,2,Master,
